Deporte,Fecha,Tiempo,Distancia,Frecuencia Media,Calorias,Tiempo Zona 1,Tiempo Zona 2,Tiempo Zona 3,Tiempo Zona 4,Tiempo Zona 5,Tipo,Tenis,Terreno
Correr,"Lunes, Mar 15, 2021 07:03 AM",01:08:21,10.2,142,706,00:21:11,00:09:30,00:09:03,00:27:46,00:00:00,Long Run,Pegasus 37,
Caminata,"Martes, Mar 16, 2021 06:53 AM",00:21:11,2.01,101,119,00:16:44,00:00:00,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Martes, Mar 16, 2021 07:16 AM",00:38:46,7.11,156,441,00:00:49,00:04:08,00:12:50,00:20:48,00:00:00,Velocity,Pegasus 36,
Ciclismo,"Miércoles, Mar 17, 2021 06:45 AM",01:06:01,15,116,502,00:37:02,00:25:49,00:00:00,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Jueves, Mar 18, 2021 06:50 AM",00:31:02,3.02,103,178,00:25:15,00:00:00,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Mar 18, 2021 07:21 AM",00:29:03,5.7,162,362,00:00:19,00:00:31,00:04:21,00:23:08,00:00:00,Velocity,Pegasus 36,
Correr,"Viernes, Mar 19, 2021 06:59 AM",01:04:15,9.05,140,637,00:11:05,00:20:36,00:13:17,00:18:25,00:00:00,Tempo Run,Pegasus 37,
Ciclismo,"Sábado, Mar 20, 2021 09:02 AM",01:03:40,,105,392,00:39:53,00:03:44,00:00:00,00:00:00,00:00:00,Duatlón,,Rodillo
Caminata,"Lunes, Mar 22, 2021 09:07 AM",00:22:07,2.15,104,131,00:19:02,00:00:00,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Mar 22, 2021 09:31 AM",00:32:07,6.35,164,408,00:00:32,00:02:27,00:04:08,00:20:45,00:03:45,Velocity,Pegasus 36,
Entrenamiento en circuito,"Lunes, Mar 22, 2021 07:09 PM",00:53:04,,125,421,00:11:26,00:18:33,00:14:04,00:00:26,00:00:00,Fuerza,,
Correr,"Martes, Mar 23, 2021 07:00 AM",01:45:31,18.72,165,1350,00:00:16,00:03:33,00:13:52,01:27:01,00:00:00,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Mar 24, 2021 06:47 AM",01:06:01,,117,519,00:40:21,00:24:25,00:00:00,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Mar 24, 2021 07:55 AM",00:59:55,6.03,120,486,00:15:37,00:42:15,00:00:18,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Jueves, Mar 25, 2021 09:11 AM",00:28:38,2.95,122,236,00:04:01,00:23:14,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Mar 25, 2021 09:44 AM",00:20:27,4.24,158,242,00:00:32,00:01:09,00:06:29,00:10:00,00:01:36,Velocity,Pegasus 36,
