Deporte,Fecha,Tiempo,Distancia,Frecuencia Media,Calorias,Tiempo Zona 1,Tiempo Zona 2,Tiempo Zona 3,Tiempo Zona 4,Tiempo Zona 5,Tipo,Tenis,Terreno
Correr,"Lunes, Ene 11, 2021 08:56 AM",01:21:56,14.06,156,955,00:00:53,00:06:43,00:28:20,00:45:58,00:00:00,Long Run,Pegasus 37,
Ciclismo,"Martes, Ene 12, 2021 09:05 AM",00:37:21,10,150,394,00:06:58,00:09:06,00:02:21,00:12:17,00:06:31,Speed Bike,,Circuito
Caminata,"Martes, Ene 12, 2021 09:49 AM",01:00:01,6.02,122,499,00:11:05,00:46:10,00:01:28,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Miércoles, Ene 13, 2021 09:01 AM",00:20:32,2,116,159,00:11:23,00:07:54,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Miércoles, Ene 13, 2021 09:25 AM",00:23:45,4.42,158,289,00:00:27,00:00:30,00:07:21,00:14:46,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Ene 14, 2021 09:02 AM",00:59:09,8.8,144,622,00:06:16,00:20:49,00:10:25,00:19:49,00:01:29,Tempo Run,Pegasus 37,
Caminata,"Viernes, Ene 15, 2021 09:02 AM",00:21:54,2.07,116,167,00:16:25,00:04:24,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Viernes, Ene 15, 2021 09:28 AM",00:23:14,4.53,155,264,00:00:27,00:04:01,00:03:54,00:14:30,00:00:12,Velocity,Pegasus 36,
Correr,"Lunes, Ene 18, 2021 09:03 AM",01:57:26,20.06,162,1438,00:00:26,00:10:37,00:10:40,01:34:26,00:01:09,Long Run,Pegasus 37,
Ciclismo,"Martes, Ene 19, 2021 09:08 AM",00:42:10,11,155,458,00:02:10,00:02:10,00:11:51,00:24:09,00:00:00,Speed Bike,,Circuito
Caminata,"Martes, Ene 19, 2021 09:58 AM",01:02:08,5.86,123,509,00:22:53,00:38:16,00:00:34,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Miércoles, Ene 20, 2021 09:06 AM",00:21:45,2.04,107,138,00:20:44,00:00:06,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Miércoles, Ene 20, 2021 09:28 AM",00:18:13,3.68,158,218,00:00:26,00:00:22,00:03:12,00:13:14,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Ene 21, 2021 09:11 AM",00:59:34,10.08,155,686,00:01:01,00:12:52,00:08:43,00:36:57,00:00:00,Tempo Run,Pegasus 37,
Caminata,"Viernes, Ene 22, 2021 09:08 AM",00:30:48,2.98,111,212,00:23:38,00:06:10,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Viernes, Ene 22, 2021 09:44 AM",00:15:15,2.81,150,167,00:00:13,00:03:27,00:04:27,00:06:08,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Ene 25, 2021 09:03 AM",01:43:20,16.04,161,1254,00:00:25,00:06:58,00:23:08,01:12:08,00:00:00,Long Run,Pegasus 37,
Caminata,"Martes, Ene 26, 2021 09:16 AM",01:08:19,4.24,112,448,00:33:02,00:16:47,00:04:24,00:00:00,00:00:00,Power Walk,Asics,
Correr,"Miércoles, Ene 27, 2021 09:32 AM",00:29:23,5.51,159,354,00:00:19,00:04:02,00:02:17,00:21:37,00:00:17,Velocity,Pegasus 36,
Caminata,"Viernes, Ene 29, 2021 09:05 AM",00:31:35,4.28,129,278,00:14:07,00:06:05,00:00:51,00:08:44,00:00:00,Speed Bike,,
Correr,"Viernes, Ene 29, 2021 09:37 AM",00:19:03,3.15,147,203,00:00:46,00:07:18,00:01:41,00:08:33,00:00:00,Speed Bike,,
Caminata,"Martes, Feb 2, 2021 09:12 AM",01:04:30,6.02,112,461,01:03:43,00:00:09,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Lunes, Feb 8, 2021 09:10 AM",00:16:10,1.58,119,128,00:06:07,00:09:50,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Feb 8, 2021 09:40 AM",00:30:26,5.01,150,327,00:00:14,00:07:03,00:09:14,00:12:51,00:00:00,Velocity,Pegasus 36,
Entrenamiento en circuito,"Lunes, Feb 8, 2021 06:03 PM",00:39:12,,142,389,00:00:30,00:11:12,00:25:03,00:01:26,00:00:00,Fuerza,,
Correr,"Martes, Feb 9, 2021 06:59 AM",01:35:23,15.01,146,980,00:01:33,00:38:42,00:29:16,00:25:47,00:00:00,Long Run,Pegasus 37,
HIIT,"Martes, Feb 9, 2021 07:08 PM",01:01:25,,122,487,00:17:24,00:36:46,00:02:24,00:00:00,00:00:00,Fuerza,,
Ciclismo,"Miércoles, Feb 10, 2021 07:02 AM",00:55:07,10.5,120,441,00:21:26,00:32:55,00:00:00,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Feb 10, 2021 07:59 AM",01:02:23,6.04,118,490,00:36:28,00:24:38,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
HIIT,"Miércoles, Feb 10, 2021 07:12 PM",00:45:00,,132,404,00:05:18,00:18:05,00:18:12,00:00:00,00:00:00,Fuerza,,
Caminata,"Jueves, Feb 11, 2021 09:13 AM",00:19:45,2.01,111,140,00:15:31,00:02:48,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Feb 11, 2021 09:33 AM",00:31:49,5.88,163,388,00:00:00,00:03:20,00:03:28,00:24:43,00:00:08,Velocity,Pegasus 36,
Correr,"Viernes, Feb 12, 2021 07:03 AM",00:57:58,7.03,129,528,00:28:41,00:15:02,00:01:08,00:12:06,00:00:00,Tempo Run,Pegasus 37,
Ciclismo,"Sábado, Feb 13, 2021 09:08 AM",01:10:36,20,152,766,00:00:00,00:04:55,00:54:46,00:10:52,00:00:00,Duatlón,,Rodillo
Correr,"Sábado, Feb 13, 2021 10:29 AM",00:29:45,5.26,160,369,00:00:21,00:00:30,00:05:50,00:21:59,00:00:21,Duatlón,Asics,
Caminata,"Lunes, Feb 15, 2021 09:08 AM",00:20:58,2.07,118,167,00:07:20,00:12:10,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Feb 15, 2021 09:30 AM",00:31:38,6.08,155,364,00:00:30,00:06:00,00:06:09,00:18:31,00:00:00,Velocity,Pegasus 36,
Entrenamiento en circuito,"Lunes, Feb 15, 2021 06:16 PM",00:48:31,,129,440,00:02:51,00:44:47,00:00:47,00:00:00,00:00:00,Fuerza,,
Correr,"Martes, Feb 16, 2021 07:00 AM",01:46:41,16.18,155,1221,00:09:38,00:13:00,00:19:47,01:04:12,00:00:00,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Feb 17, 2021 07:00 AM",00:52:35,11.3,123,444,00:12:45,00:38:26,00:00:35,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Feb 17, 2021 07:55 AM",01:03:05,6.06,118,495,00:45:52,00:17:04,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Jueves, Feb 18, 2021 09:05 AM",00:30:09,2.17,112,205,00:20:21,00:06:38,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Feb 18, 2021 09:37 AM",00:33:25,6.54,164,426,00:00:12,00:00:14,00:02:05,00:29:18,00:00:33,Velocity,Pegasus 36,
HIIT,"Jueves, Feb 18, 2021 07:18 PM",01:01:56,,122,467,00:10:24,00:13:40,00:17:16,00:03:42,00:00:00,Fuerza,,
Correr,"Viernes, Feb 19, 2021 07:03 AM",01:00:26,11.5,168,787,00:00:36,00:01:10,00:04:45,00:49:24,00:04:05,Tempo Run,Pegasus 37,
Entrenamiento de fuerza,"Viernes, Feb 19, 2021 07:39 PM",00:56:49,,110,392,00:36:39,00:13:07,00:00:00,00:00:00,00:00:00,Fuerza,,
Ciclismo,"Sábado, Feb 20, 2021 09:00 AM",02:09:58,30,140,1284,00:04:03,00:32:30,01:28:14,00:00:00,00:00:00,Duatlón,,Rodillo
Correr,"Sábado, Feb 20, 2021 11:13 AM",00:26:02,4.54,158,316,00:00:16,00:00:17,00:05:00,00:19:34,00:00:00,Duatlón,Asics,
Caminata,"Lunes, Feb 22, 2021 09:06 AM",00:21:48,2.07,106,138,00:18:31,00:00:01,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
